امنیت پایگاه  داده	ردیف	شرح ویژگی	درصد اجرا	مرتبه اجرا	توضیحات 
	46	مي‌بايست روش‌هاي اجرايي براي بازبيني دوره‌اي و بررسي سياست‌هاي جديد را تدوين و در سازمان جاري نمود.			
	47	"براي اين كار لازم است كه روش اجرايي تهيه شده و شواهد اجراي آن‌ها براي فرآيند مميزي، نگهداري شوند."			
	48	"مي‌بايست، دسترسي‌هاي پايگاه داده و برنامه‌هاي كاربردي را به اشياي خارج از پايگاه داده مورد بررسي قرار داد و مستند نمود. همچنين، دسترسي‌هاي غيرضروري يا با مجوز بالا را محدود و غيرفعال كرد."			
	49	"مي‌بايست، مجوز پايگاه داده و برنامه‌هاي كاربردي را براي اجراي اشياي خارج از پايگاه داده مورد بررسي قرار داد و مستند نمود. همچنين، مجوزهاي غيرضروري را محدود يا غيرفعال نمود."			
	50	براي كنترل اين موضوع مي‌بايست امتياز دسترسي حساب‌هاي كاربري Replication را به كمترين امتياز دسترسي ممكن محدود نمود و از استفاده حساب‌هاي كاربري به شكل تكراري خودداري نمود.			
	51	"مي‌بايست، حساب‌هاي كاربري سيستم عامل كه توسط برنامه‌هاي خارجي استفاده مي‌شودرا  به گونه‌اي تنظيم نمود كه كمترين امتياز دسترسي لازم براي عمل كردن را نياز داشته باشد. همچنين، كاربردهاي مورد استفاده كه منجر به امتياز دسترسي بالا مي‌شوند را مي‌بايست مستند نمود."			
	52	"سرويس‌هاي مختلف پايگاه داده، مي‌بايست تحت حساب‌هاي كاري متفاوت و با حداقل امتياز دسترسي، اجرا شوند و هر گونه پردازش يا حساب‌هاي كاربري مربوط به سرويس‌هايي كه غير ضروري مي‌باشند، غير فعال شوند. يادآوري مي‌شود كه براي تنظيم حقوق دسترسي حساب كاربري سرويس موردنظر، مي‌بايست مستندات DBMS مطالعه شود."			
	53	"ايجاد محدوديت مي‌بايست به‌نحوي صورت پذيرد كه تنها سيستم‌هايي با آدرس شبكه (IP) مجاز، امكان دسترسي به DBMS را داشته باشند. همچنين، ليست آدرس‌هاي مجاز مي‌بايست مستند شوند."			
	54	"نام‌هاي پردازش‌ها يا سرويس‌هايي كه داراي تمايز آشكار و هدف‌هاي متمايز مي‌باشند، مي‌بايست كاملاً مشخص شوند. براي تغيير نام پردازش يا سرويس‌هايي كه مرتبط با DBMS مي‌باشند، مي‌توانيد از مستندهاي توليدكنندگان DBMS استفاده نماييد."			
	55	"نقش‌هاي كاربران برنامه كاربردي، مي‌بايست مورد بررسي قرار گرفته و مجوزهاي دسترسي آن‌ها با رعايت حداقل امتياز دسترسي تنظيم و مستند شود."			
	56	"براي اعمال رمزنگاري پايگاه داده مي‌بايست ابتدا تحليل حساسيت داده‌ها، حجم اطلاعات و روش‌هاي رمزنگاري مناسب مورد بررسي قرار گرفت، سپس رمزنگاري مناسب اعمال شود. دلايل تحليل و استفاده يا عدم استفاده از رمزنگاري مي‌بايست مستند شوند."			
	57	"مي‌بايست، تحليل داده‌هاي پايگاه داده را با همكاري از مسؤلين ذيربط تعيين و مستند نمود و ميزان دسترسي آن‌ها را نيز تعيين كرد. به عنوان مثال برخي از اطلاعات مي‌بايست براي مدير نگهدارنده پايگاه داده نيز پنهان باشد."			
	58	"هرگونه سرويس‌هاي اضافي يا برنامه‌‌هاي كاربردي كه مرتبط با پايگاه داده نمي‌باشند، مي‌بايست از سيستم ميزبان پايگاه داده حذف شوند و روي يك ميزبان جداگانه نصب گردند. در مواردي كه جداسازي ممكن نيست، مي‌بايست ملاحظات امنيتي آن سرويس رعايت شده و مستند گردد."			
	59	سرويس دايركتوري نمي‌بايست روي سيستم ميزبان پايگاه داده قرار گرفته باشند.			
	60	"پارتيشن و دايركتوري نرم‌افزار پايگاه داده و ديگر داده‌هاي مرتبط با پايگاه داده را از برنامه‌هاي كاربردي ديگر، مجزا نموده و مجوزهاي سيستم عامل را براي دسترسي به آن‌ها، تنظيم نماييد."			
	61	"پارتيشن و دايركتوري فايل‌هاي اصلي پايگاه داده را اختصاصي نموده و مجوزهاي سيستم عامل را براي دسترسي به آن‌ها، تنظيم نماييد."			
	62	"با توليدكنندگان پايگاه داده جلسه‌اي را ترتيب داده و اين موضوع را بررسي نماييد. در صورتي كه چنين وابستگي وجود دارد، تلاش نماييد پايگاه داده‌اي مجزا براي جداول و اشيايي كه مرتبط با برنامه كاربردي موردنظر نمي‌باشد، ايجاد نماييد. در اين مورد يك استثنا نيز وجود دارد و ان‌، برنامه‌هايي هستند كه هر يك جزيي از يك برنامه بزرگتر واحد مي‌باشند."			
	63	براي فايل‌هاي مهم و حساس پايگاه داده از تجهيزات ذخيره‌سازي با قابليت تحمل خطا استفاده نماييد. (استفاده از قابليت‌هاي RAID و خوشه‌بندي)			
	64	"مي‌بايست پيكربندي‌هاي امنيتي DBMS را براي اين مورد فعال نمود، در صورتي كه DBMS داراي چنين مكانيزمي نمي باشد مي‌بايست به صورت دستي جامعيت فايل‌هاي مورد نظر را فراهم نمود. براي اين كار مي‌توان از نرم‌افزارهايي از قبيل Tripwire يا قابليت‌هاي امضاي ديجيتالي، سود جست."			
	65	"تخصيص نقش‌هاي با امتياز دسترسي بالا به كاربران پايگاه داده، مي‌بايست تحت نظارت مستمر بوده و مستند شوند."			
	66	نقش‌هايي براي وظايف مديريتي بسازيد و امتيازهاي ضروري را به آن نقش تخصيص دهيد و سپس حساب‌هاي كاربري كه مي‌بايست عضو اين نقش شوند را مستند كنيد.			
	67	"با توجه به كنترل 91، مستند حساب‌هاي كاربري افرادي كه به نقش مدير اجرايي تخصيص داده شده است مي‌بايست به‌صورت مستمر مورد بازبيني قرار گيرد و با حساب‌هاي كاربري كه به نقش موردنظر تخصيص داده شده است، انطباق داده شود و هرگونه عدم انطباق مي‌بايست پيگيري شده و نتايج آن مستند شوند."			
	68	"معمولاً در DBMSها اطلاعات پيكربندي در برخي جداول سيستمي نگهداري مي‌شود. مي‌بايست مجوز كنترل دسترسي به جداول سيستمي مورد بررسي قرار گيرد و از اعطاي مجوز به كاربراني كه مدير اجرايي پايگاه داده خودداري نمود و در صورت الزام، اعطاي مجوزها كنترل و مستند شوند."			
